text;label
коза;1
дельфин;1
самокат;0
стакан;0
часы;0
фламинго;1
лампа;0
панда;1
тетрадь;0
антилопа;1
мост;0
холодильник;0
самолет;0
люстра;0
корова;1
слон;1
вилка;0
сокол;1
орел;1
кит;1
телефон;0
аллигатор;1
нож;0
скейтборд;0
орел;1
лисица;1
утка;1
осьминог;1
ракета;0
лисица;1
кролик;1
ворона;1
дерево;0
заяц;1
плита;0
фотография;0
фламинго;1
синица;1
стол;0
фотография;0
галактика;0
змея;1
осьминог;1
индюк;1
кошка;1
здание;0
крокодил;1
дерево;0
улица;0
океан;0
планета;0
ворона;1
стакан;0
карандаш;0
книга;0
еж;1
фотография;0
книга;0
панда;1
овца;1
телевизор;0
дом;0
лягушка;1
слон;1
акула;1
скат;1
сокол;1
голубь;1
жираф;1
панда;1
галактика;0
океан;0
часы;0
река;0
велосипед;0
голубь;1
воробей;1
сад;0
кенгуру;1
плита;0
скат;1
стул;0
коза;1
галактика;0
картина;0
галактика;0
собака;1
море;0
бык;1
нож;0
заяц;1
скейтборд;0
орел;1
стул;0
галактика;0
лев;1
коза;1
индюк;1
игуана;1
карандаш;0
звезда;0
люстра;0
вода;0
петух;1
белка;1
бык;1
черепаха;1
сокол;1
дельфин;1
стул;0
дорога;0
корова;1
акула;1
цапля;1
аллигатор;1
аист;1
индюк;1
носорог;1
страус;1
еж;1
утконос;1
утконос;1
змея;1
лягушка;1
мост;0
гусь;1
орел;1
картина;0
тарелка;0
коза;1
телефон;0
коала;1
крокодил;1
камень;0
лев;1
облако;0
акула;1
овца;1
лягушка;1
солнце;0
нож;0
тигр;1
стакан;0
фотография;0
машина;0
телефон;0
море;0
ручка;0
мост;0
телефон;0
тетрадь;0
лев;1
песок;0
карандаш;0
солнце;0
река;0
носорог;1
ежик;1
ручка;0
бутылка;0
корова;1
планета;0
планета;0
бегемот;1
планета;0
слон;1
песок;0
фотография;0
слон;1
люстра;0
улица;0
скейтборд;0
телевизор;0
звезда;0
картина;0
башня;0
вода;0
кит;1
слон;1
мост;0
утконос;1
мост;0
здание;0
осьминог;1
собака;1
камень;0
аллигатор;1
телефон;0
дом;0
карандаш;0
плита;0
телевизор;0
парк;0
плита;0
стол;0
компьютер;0
носорог;1
жаба;1
холодильник;0
озеро;0
кит;1
скейтборд;0
бык;1
стул;0
панда;1
камень;0
антилопа;1
аист;1
утка;1
песок;0
самокат;0
башня;0
бутылка;0
жираф;1
дом;0
тарелка;0
пингвин;1
тарелка;0
овца;1
фотография;0
коза;1
слон;1
змея;1
дом;0
нож;0
здание;0
самокат;0
воробей;1
дорога;0
часы;0
облако;0
холодильник;0
белка;1
озеро;0
хамелеон;1
тетрадь;0
луна;0
слон;1
самокат;0
галактика;0
хамелеон;1
